no;model;tahun; harga ;transmisi;jarak_tempuh;bahan_bakar; pajak ;mpg;ukuran_mesin; harga_awal ;selisih tahun
85;Daihatsu Terios TX ADVENTURE;2012;Rp155.000.000,00;Automatic;112456;Petrol/Gasoline/Bensin;Rp2.300.000,00;22;1,5;Rp198.000.000,00;11
86;Mitsubishi Pajero Sport DAKAR HI POWER;2010;Rp285.000.000,00;Automatic;80000;Diesel/Solar;Rp9.431.000,00;35;2,5;Rp458.000.000,00;13
87;Toyota Avanza G;2013;Rp108.000.000,00;Manual;321546;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp189.500.000,00;10
88;Toyota Yaris G;2008;Rp70.000.000,00;Automatic;428000;Petrol/Gasoline/Bensin;Rp3.371.000,00;25;1,5;Rp265.000.000,00;15
89;Toyota Calya E;2018;Rp167.600.000,00;Manual;85000;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,2;Rp136.000.000,00;5
90;Suzuki Ertiga;2013;Rp114.999.000,00;Automatic;107000;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp220.000.000,00;10
91;Toyota Fortuner VRZ TRD LUX ;2018;Rp440.000.000,00;Automatic;98754;Diesel/Solar;Rp4.000.000,00;34;2,4;Rp599.000.000,00;5
92;Honda Brio S ;2018;Rp162.500.000,00;Manual;90000;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp165.000.000,00;5
93;Toyota Avanza E;2013;Rp112.000.000,00;Manual;70000;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp189.500.000,00;10
94;Toyota Avanza E;2022;Rp242.800.000,00;Manual;57488;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp189.500.000,00;1
95;Daihatsu Ayla R;2019;Rp151.850.000,00;Manual;40368;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp115.000.000,00;4
96;Toyota Yaris S GR SPORT 7 AB;2015;Rp345.000.000,00;Manual;98525;Petrol/Gasoline/Bensin;Rp9.286.000,00;25;1,5;Rp315.000.000,00;8
97;Daihatsu Xenia R;2019;Rp165.000.000,00;Manual;138023;Petrol/Gasoline/Bensin;Rp2.800.000,00;23;1,3;Rp194.000.000,00;4
98;Honda Brio E;2015;Rp110.000.000,00;Manual;30491;Petrol/Gasoline/Bensin;Rp2.000.000,00;25;1,2;Rp140.000.000,00;8
99;Daihatsu Ayla R;2019;Rp98.150.000,00;Manual;68000;Petrol/Gasoline/Bensin;Rp2.800.000,00;25;1,2;Rp115.000.000,00;4
100;Daihatsu Xenia DLX VTTi;2015;Rp109.000.000,00;Manual;75000;Petrol/Gasoline/Bensin;Rp1.371.000,00;22;1;Rp125.000.000,00;8
101;Daihatsu Ayla M;2016;Rp125.000.000,00;Manual;79852;Petrol/Gasoline/Bensin;Rp1.371.000,00;22;1;Rp100.000.000,00;7
102;Toyota Calya E;2012;Rp110.000.000,00;Manual;350000;Petrol/Gasoline/Bensin;Rp2.000.000,00;22;1,2;Rp120.000.000,00;11
103;Toyota Yaris J MC;2009;Rp90.000.000,00;Manual;152041;Petrol/Gasoline/Bensin;Rp3.371.000,00;25;1,5;Rp180.000.000,00;14
